"url","path","page_type","http_status_live","canonical_self","indexable","in_sitemap","title","title_len","meta_description_len","h1","h2_count","main_words","internal_links_out","inlinks_total","inlinks_contextual","img_count","img_missing_or_empty_alt","schema_types","primary_topic_keywords","search_intent","conversion_purpose","thin_content_risk","duplication_risk","orphan_risk","action"
"https://www.theglownique.com/blog/halloween-neon-sign-ideas","/blog/halloween-neon-sign-ideas","blog-post","200","yes","yes","yes","Halloween Neon Sign Ideas: 9 Creative Displays | The Glownique","62","153","9 Halloween Neon Sign Ideas for Parties, Cafes and Cozy Corners","14","2136","15","5","5","4","2","Organization WebSite BlogPosting BreadcrumbList FAQPage","coffee bar sign (2400); halloween neon sign (880); coffee bar sign ideas (260); wedding neon sign ideas (140)","informational / inspiration","article CTA","low","low","ok",""
"https://www.theglownique.com/blog/how-to-choose-the-right-neon-color-for-your-sign","/blog/how-to-choose-the-right-neon-color-for-your-sign","blog-post","200","yes","yes","yes","How to Choose Right Neon Sign Color | The Glownique","51","154","How to Choose the Right Neon Color for Your Sign: A Practical Checklist","15","2501","14","11","11","3","2","Organization WebSite BlogPosting BreadcrumbList FAQPage","neon colors (49500); choose right neon color (320)","informational / inspiration","article CTA","low","low","ok",""
"https://www.theglownique.com/blog/storefront-signage-ideas-small-businesses","/blog/storefront-signage-ideas-small-businesses","blog-post","200","yes","yes","yes","Storefront Signage Ideas: 5 Types Compared | The Glownique","58","157","Storefront Signage Ideas: 5 Types Compared for Small Businesses","15","1887","21","1","1","3","2","Organization WebSite BlogPosting BreadcrumbList FAQPage","","informational / inspiration","article CTA","low","low","weak (<=2 contextual links)",""
"https://www.theglownique.com/blog/turn-business-logo-into-custom-neon-sign","/blog/turn-business-logo-into-custom-neon-sign","blog-post","200","yes","yes","yes","Turn Your Business Logo into a Neon Sign | The Glownique","56","158","How to Turn Your Business Logo into a Custom Neon Sign: The Complete Workshop Guide","13","1379","16","3","3","3","2","Organization WebSite BlogPosting BreadcrumbList FAQPage","","informational / inspiration","article CTA","low","low","ok",""
"https://www.theglownique.com/business-signs","/business-signs","b2b-hub","200","yes","yes","yes","Custom Business & Storefront Signs | The Glownique","50","148","Custom Business Signs & Storefront Signage","4","566","29","21","17","8","2","Organization WebSite CollectionPage ItemList BreadcrumbList","outdoor business signs (9900); custom signage for business (5400); custom business signs (4400); storefront signs (3600)","commercial investigation","route to sign type","medium","low","ok","IMPLEMENTED: unconfirmed steel grades removed; now linked from the sitewide footer"
"https://www.theglownique.com/business-signs/acrylic-logo-signs","/business-signs/acrylic-logo-signs","b2b-sign-type","200","yes","yes","yes","Custom Acrylic Business Signs & 3D Logos | The Glownique","56","140","Custom Acrylic Logo Signs & 3D Wall Plaques","4","345","13","11","11","3","2","Organization WebSite Product BreadcrumbList FAQPage","acrylic signs (8100); customizable acrylic signs (3600); custom perspex signs (2900); custom acrylic signs (2900)","transactional (B2B)","WhatsApp quote + mockup","HIGH","HIGH: same product and query as /products/uv-print-acrylic-signs","ok","IMPLEMENTED: now the single acrylic page (345 -> 841 words)"
"https://www.theglownique.com/business-signs/backlit-lobby-signs","/business-signs/backlit-lobby-signs","b2b-sign-type","200","yes","yes","yes","Backlit Lobby Signs & Reception Wall Logos | The Glownique","58","155","Custom Backlit Lobby Signs & Reception Wall Logos","5","791","14","3","3","3","2","Organization WebSite Product BreadcrumbList FAQPage","backlit reception signs (70); halo lit lobby signs (50); backlit lobby signs (40)","transactional (B2B)","WhatsApp quote + mockup","low","low","ok","REVIEW (P2): ~110/mo total demand; overlaps office-signs and backlit-signs"
"https://www.theglownique.com/business-signs/backlit-signs","/business-signs/backlit-signs","b2b-sign-type","200","yes","yes","yes","Custom Backlit Signs for Business | The Glownique","49","149","Custom Backlit Signs & Halo-Lit Business Signage","7","930","18","4","4","3","2","Organization WebSite Product BreadcrumbList FAQPage","backlit signs (2400); commercial backlit signs (320); reverse channel letter signs (140)","transactional (B2B)","WhatsApp quote + mockup","low","low","ok","IMPLEMENTED: 'marine-grade 304' error and unconfirmed grades removed"
"https://www.theglownique.com/business-signs/bar-signs","/business-signs/bar-signs","b2b-industry","200","yes","yes","yes","Custom Neon Bar Signs for Venues | The Glownique","48","147","Custom Neon Bar Signs for Commercial Venues","6","669","18","1","1","3","2","Organization WebSite CollectionPage ItemList BreadcrumbList FAQPage","neon bar signs (4400)","commercial investigation (B2B)","WhatsApp quote","medium","low","weak (<=2 contextual links)","REVIEW (P2): see bar-neon-signs"
"https://www.theglownique.com/business-signs/channel-letter-signs","/business-signs/channel-letter-signs","b2b-sign-type","200","yes","yes","yes","Custom Channel Letter & 3D Metal Signs | The Glownique","54","145","Custom 3D Metal Channel Letter Signs","4","336","14","9","9","3","2","Organization WebSite Product BreadcrumbList FAQPage","channel letter signs (3600); metal letter signs (1000); led channel letter signs (320); outdoor metal letter signs (320)","transactional (B2B)","WhatsApp quote + mockup","HIGH","HIGH: same product and query as /products/3d-metal-neon-signs","ok","IMPLEMENTED: now the single channel-letter page (full template, 336 -> 972 words); UL/316 claims removed"
"https://www.theglownique.com/business-signs/custom-logo-neon-signs","/business-signs/custom-logo-neon-signs","b2b-sign-type","200","yes","yes","yes","Custom Business Logo LED Neon Signs | The Glownique","51","142","Custom Logo Neon Signs for Business","4","395","14","12","12","3","2","Organization WebSite Product BreadcrumbList FAQPage","custom neon logo signs (1300); lobby signs (590); neon signs for business (590); business logo signs (590)","transactional (B2B)","WhatsApp quote + mockup","HIGH","low","ok",""
"https://www.theglownique.com/business-signs/gym-fitness-signs","/business-signs/gym-fitness-signs","b2b-industry","200","yes","yes","yes","Custom Gym Neon Signs & Fitness Signage | The Glownique","55","142","Custom Gym Neon Signs & Fitness Studio Signage","6","677","17","1","1","3","2","Organization WebSite CollectionPage ItemList BreadcrumbList FAQPage","gym signs (1000); neon gym signs (590); gym neon sign (590)","commercial investigation (B2B)","WhatsApp quote","medium","low","weak (<=2 contextual links)",""
"https://www.theglownique.com/business-signs/lightbox-signs","/business-signs/lightbox-signs","b2b-sign-type","200","yes","yes","yes","Custom Ultra-Thin Lightbox & LED Signs | The Glownique","54","142","Custom Lightbox Signs & Ultra-Thin Displays","4","281","13","8","8","3","2","Organization WebSite Product BreadcrumbList FAQPage","lightbox signs (720); custom backlit signage (590); outdoor lightbox signs (320); led light box sign (170)","transactional (B2B)","WhatsApp quote + mockup","HIGH","HIGH: same product and query as /products/ultra-thin-lightbox","ok","IMPLEMENTED: now the single lightbox page (281 -> 612 words)"
"https://www.theglownique.com/business-signs/office-signs","/business-signs/office-signs","b2b-industry","200","yes","yes","yes","Custom Office Signs & Lobby Signage | The Glownique","51","153","Custom Office Signs & Reception Logo Signage","6","710","18","2","2","3","2","Organization WebSite CollectionPage ItemList BreadcrumbList FAQPage","office signs (2900)","commercial investigation (B2B)","WhatsApp quote","low","low","weak (<=2 contextual links)",""
"https://www.theglownique.com/business-signs/open-signs","/business-signs/open-signs","b2b-industry","200","yes","yes","yes","Custom Neon Open Signs for Storefronts | The Glownique","54","148","Custom Neon Open Signs for Storefronts","6","702","17","1","1","3","2","Organization WebSite CollectionPage ItemList BreadcrumbList FAQPage","neon open sign (3600)","commercial investigation (B2B)","WhatsApp quote","low","low","weak (<=2 contextual links)",""
"https://www.theglownique.com/business-signs/restaurant-signs","/business-signs/restaurant-signs","b2b-industry","200","yes","yes","yes","Custom Restaurant Signs & Cafe Signage | The Glownique","54","152","Custom Restaurant Signs & Café Signage","6","694","18","2","2","3","2","Organization WebSite CollectionPage ItemList BreadcrumbList FAQPage","restaurant signs (2900); cafe signs (1300); coffee shop signs (880); outdoor restaurant signs (590)","commercial investigation (B2B)","WhatsApp quote","medium","low","weak (<=2 contextual links)",""
"https://www.theglownique.com/business-signs/retail-storefronts","/business-signs/retail-storefronts","b2b-industry","200","yes","yes","yes","Custom Retail Storefront Signs | The Glownique","46","149","Custom Retail Storefront Signs","6","669","18","2","2","3","2","Organization WebSite CollectionPage ItemList BreadcrumbList FAQPage","shop signs (1600); neon shop signs (880); retail shop signs (390); custom retail storefront signs (0)","commercial investigation (B2B)","WhatsApp quote","medium","low","weak (<=2 contextual links)",""
"https://www.theglownique.com/business-signs/salon-spa-signs","/business-signs/salon-spa-signs","b2b-industry","200","yes","yes","yes","Custom Salon & Spa Neon Signs | The Glownique","45","150","Custom Salon & Spa Neon Signs","6","664","17","2","2","3","2","Organization WebSite CollectionPage ItemList BreadcrumbList FAQPage","barbershop signage (1900); salon signs (1000); beauty salon signs (880); hair salon signs (880)","commercial investigation (B2B)","WhatsApp quote","medium","low","weak (<=2 contextual links)",""
"https://www.theglownique.com/business-signs/trade-show-signs","/business-signs/trade-show-signs","b2b-industry","200","yes","yes","yes","Trade Show Booth Signs & Displays | The Glownique","49","150","Trade Show Booth Signs & Portable Displays","6","670","17","1","1","3","2","Organization WebSite CollectionPage ItemList BreadcrumbList FAQPage","trade show booth signs (0)","commercial investigation (B2B)","WhatsApp quote","medium","low","weak (<=2 contextual links)",""
"https://www.theglownique.com/contact","/contact","contact","200","yes","yes","yes","Contact Us — Custom Sign Quotes & Support | The Glownique","57","156","Contact The Glownique","7","1095","14","49","7","2","2","Organization WebSite ContactPage Organization BreadcrumbList FAQPage","","conversion","contact form -> WhatsApp","n/a","low","ok",""
"https://www.theglownique.com/custom-signage","/custom-signage","consumer-hub","200","yes","yes","yes","Custom Signage & Light Up Signs | The Glownique","47","140","Custom Signage & Light Up Signs","7","442","19","11","9","12","2","Organization WebSite CollectionPage ItemList BreadcrumbList","custom signage (33100); neon lights (18100); personalized led sign (12100); led signs (12100)","commercial investigation","route to collection","HIGH","low","ok",""
"https://www.theglownique.com/custom-signage/bar-neon-signs","/custom-signage/bar-neon-signs","consumer-collection","200","yes","yes","yes","Personalized Neon Bar Signs & Pub Signs | The Glownique","55","154","Personalized Neon Bar Signs for Home Bars & Man Caves","10","1133","21","6","6","13","2","Organization WebSite CollectionPage ItemList BreadcrumbList FAQPage","personalized neon bar signs (33100); neon bar signage (3600); custom bar signs (1600); custom neon bar signs (720)","transactional + inspiration","WhatsApp quote","low","low","ok","REVIEW (P2): competes with /business-signs/bar-signs per SERP study; differentiate home-bar vs venue intent"
"https://www.theglownique.com/custom-signage/event-signs","/custom-signage/event-signs","consumer-collection","200","yes","yes","yes","Party & Happy Birthday Neon Signs | The Glownique","49","152","Custom Party & Happy Birthday Neon Signs","10","1109","21","6","6","13","2","Organization WebSite CollectionPage ItemList BreadcrumbList FAQPage","happy birthday neon sign (1000); party neon signs (170); neon party sign (170)","transactional + inspiration","WhatsApp quote","low","low","ok",""
"https://www.theglownique.com/custom-signage/gaming-neon-signs","/custom-signage/gaming-neon-signs","consumer-collection","200","yes","yes","yes","Gaming Neon Signs for Game Rooms | The Glownique","48","147","Gaming Neon Signs for Game Rooms & Setups","10","1098","21","6","6","13","2","Organization WebSite CollectionPage ItemList BreadcrumbList FAQPage","gaming neon signs (590); game room signage (480); neon signs for gaming room (210); video game neon signs (170)","transactional + inspiration","WhatsApp quote","low","low","ok",""
"https://www.theglownique.com/custom-signage/home-decor-signs","/custom-signage/home-decor-signs","consumer-collection","200","yes","yes","yes","Bedroom Neon Signs & Neon Wall Art | The Glownique","50","153","Bedroom Neon Signs & Neon Wall Art for the Home","10","1143","21","6","6","13","2","Organization WebSite CollectionPage ItemList BreadcrumbList FAQPage","neon lights for bedroom (2400); bedroom neon signs (1600); neon wall lights (720); neon sign for home (260)","transactional + inspiration","WhatsApp quote","low","low","ok",""
"https://www.theglownique.com/custom-signage/kids-room-neon-signs","/custom-signage/kids-room-neon-signs","consumer-collection","200","yes","yes","yes","Kids’ Room Neon Signs & Name Signs | The Glownique","50","157","Kids’ Room Neon Signs & Nursery Name Signs","10","1178","21","6","6","17","2","Organization WebSite CollectionPage ItemList BreadcrumbList FAQPage","","transactional + inspiration","WhatsApp quote","low","low","ok",""
"https://www.theglownique.com/custom-signage/wedding-signs","/custom-signage/wedding-signs","consumer-collection","200","yes","yes","yes","Custom Wedding Neon Signs & Wall Decor | The Glownique","54","155","Custom Wedding Neon Signs","10","1120","21","6","6","13","2","Organization WebSite CollectionPage ItemList BreadcrumbList FAQPage","wedding signs (14800); wedding neon signs (3600); custom signs for wedding (1600); wedding led sign (480)","transactional + inspiration","WhatsApp quote","low","low","ok",""
"https://www.theglownique.com/guides","/guides","guides-hub","200","yes","yes","yes","Business Signage Guides & Comparisons | The Glownique","53","149","Business Signage Guides & Technical Comparisons","4","108","15","12","10","2","2","Organization WebSite CollectionPage ItemList BreadcrumbList","","informational","route to guide","HIGH","low","ok","NEXT (P2): add hub intro and links to sign types; thin at 108 words"
"https://www.theglownique.com/guides/backlit-sign-wall-surfaces-and-standoffs","/guides/backlit-sign-wall-surfaces-and-standoffs","guide","200","yes","yes","yes","Backlit Sign Wall Surfaces & Standoff Guide | The Glownique","59","156","How Wall Surfaces & Standoff Distance Change Backlit Signs","6","832","14","6","6","2","2","Organization WebSite Article BreadcrumbList FAQPage","backlit sign wall surfaces and standoffs (110); backlit sign standoff distance (90); halo lit sign wall reflection (70)","commercial investigation / comparison","quote CTA","low","low","ok",""
"https://www.theglownique.com/guides/custom-business-sign-cost","/guides/custom-business-sign-cost","guide","200","yes","yes","yes","Custom Business Sign Cost: 2026 Guide | The Glownique","53","153","Custom Business Sign Cost Guide","2","432","13","22","22","2","2","Organization WebSite Article BreadcrumbList FAQPage","channel letter signs price (210); neon sign cost (170); channel letter signs cost (170); how much do outdoor business signs cost (140)","commercial investigation / comparison","quote CTA","HIGH","low","ok","IMPLEMENTED: unapproved price ranges removed. NEXT: rebuild as channel-letter + neon cost guides once owner supplies price basis"
"https://www.theglownique.com/guides/front-lit-vs-halo-lit-vs-dual-lit","/guides/front-lit-vs-halo-lit-vs-dual-lit","guide","200","yes","yes","yes","Front-Lit vs Halo-Lit vs Dual-Lit Letters | The Glownique","57","156","Front-Lit vs. Halo-Lit vs. Dual-Lit Channel Letters","2","462","16","8","8","2","2","Organization WebSite Article BreadcrumbList FAQPage","front lit vs halo lit channel letters (0)","commercial investigation / comparison","quote CTA","medium","low","ok","NEXT (P1): expand into the full comparison page (thin at 462 words; most winnable cluster)"
"https://www.theglownique.com/privacy","/privacy","policy","200","yes","yes","yes","Privacy Policy | The Glownique","30","145","Privacy Policy","14","1281","12","49","3","2","2","Organization WebSite","","support / trust","trust","n/a","low","ok",""
"https://www.theglownique.com/products/3d-metal-neon-signs","/products/3d-metal-neon-signs","product","200","yes","yes","yes","3D Metal Signs & LED Channel Letters | The Glownique","52","150","3D Metal Neon Signs","11","841","12","49","6","18","2","Organization WebSite Product BreadcrumbList FAQPage","","transactional","WhatsApp quote + mockup","low","HIGH: same product and query as /business-signs/channel-letter-signs","ok","IMPLEMENTED: 301 -> /business-signs/channel-letter-signs (merged)"
"https://www.theglownique.com/products/custom-neon-signs","/products/custom-neon-signs","product","200","yes","yes","yes","Custom LED Neon Signs — Made to Order | The Glownique","53","149","Custom LED Neon Signs","12","950","12","49","22","16","2","Organization WebSite Product BreadcrumbList FAQPage","custom neon letters (40500); personalized neon (40500); custom made neon signs (33100); custom neon signs (33100)","transactional","WhatsApp quote + mockup","low","low","ok","IMPLEMENTED: definition-first intro; use-case links to occasion pages"
"https://www.theglownique.com/products/ultra-thin-lightbox","/products/ultra-thin-lightbox","product","200","yes","yes","yes","Ultra-Thin LED Lightboxes — Edge-Lit Signs | The Glownique","58","147","Ultra Thin Slim Lightboxes","10","550","12","49","13","17","2","Organization WebSite Product BreadcrumbList FAQPage","","transactional","WhatsApp quote + mockup","medium","HIGH: same product and query as /business-signs/lightbox-signs","ok","IMPLEMENTED: 301 -> /business-signs/lightbox-signs (merged)"
"https://www.theglownique.com/products/uv-print-acrylic-signs","/products/uv-print-acrylic-signs","product","200","yes","yes","yes","3D Acrylic Signs with UV-Print Logos | The Glownique","52","155","3D Acrylic Illuminated Neon Signs","10","837","12","49","14","13","2","Organization WebSite Product BreadcrumbList FAQPage","","transactional","WhatsApp quote + mockup","low","HIGH: same product and query as /business-signs/acrylic-logo-signs","ok","IMPLEMENTED: 301 -> /business-signs/acrylic-logo-signs (merged)"
"https://www.theglownique.com/returns","/returns","policy","200","yes","yes","yes","Returns & 5-Year Warranty | The Glownique","41","148","Returns & Warranty","7","494","12","49","3","2","2","Organization WebSite","","support / trust","trust","n/a","low","ok",""
"https://www.theglownique.com/shipping","/shipping","policy","200","yes","yes","yes","Shipping & Delivery | The Glownique","35","157","Shipping & Delivery","8","416","12","49","2","2","2","Organization WebSite","","support / trust","trust","n/a","low","weak (<=2 contextual links)",""
"https://www.theglownique.com/terms","/terms","policy","200","yes","yes","yes","Custom Sign Orders & Terms of Sale | The Glownique","50","134","Terms of Sale","10","612","12","49","0","2","2","Organization WebSite","","support / trust","trust","n/a","low","weak (<=2 contextual links)",""
