"keyword","cluster","target_url","previous_target","remap_reason","role","us_monthly_volume","seo_difficulty","intent","funnel_stage","serp_observation_2026_09_24","status","recommended_action"
"front lit channel letter signs","Storefront & Channel Letters","/business-signs/channel-letter-signs","","","secondary","170","12","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"lobby signs for business","Industry - Corporate & Office","/business-signs/custom-logo-neon-signs","","","secondary","170","14","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"led light box sign","Lightbox & Edge-Lit Signs","/business-signs/lightbox-signs","/products/ultra-thin-lightbox","301 consolidation 2026-09-24","primary","170","19","commercial_investigation","MOFU (Consideration)","medium","Live Page","Keep mapped; improve on-page when the page is next edited."
"video game neon signs","Gaming & Entertainment","/custom-signage/gaming-neon-signs","","","secondary","170","19","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"neon sign cost","Technical Guides & Buying Decisions","/guides/custom-business-sign-cost","","","secondary","170","20","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"party neon signs","Events & Occasions","/custom-signage/event-signs","","","primary","170","21","transactional_commercial","decision","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom channel letter signs","Storefront & Channel Letters","/business-signs/channel-letter-signs","","","primary","170","27","transactional_commercial","decision","","Live Page","Keep mapped; improve on-page when the page is next edited."
"channel letter signs cost","Technical Guides & Buying Decisions","/guides/custom-business-sign-cost","","","secondary","170","28","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"neon party sign","Events & Occasions","/custom-signage/event-signs","","","secondary","170","34","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom storefront signs","Industry - Retail & Storefronts","/","","","secondary","170","42","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"front lit signage","B2B Commercial & Business Signs","/business-signs/channel-letter-signs","/products/3d-metal-neon-signs","301 consolidation 2026-09-24","secondary","140","11","commercial_investigation","MOFU (Consideration)","winnable: thin manufacturer pages","Live Page","Priority: deepen the target page (specs, comparison table, real project photos) and link to it from guides."
"reverse channel letter signs","Backlit & Halo-Lit Signs","/business-signs/backlit-signs","","","secondary","140","11","transactional_commercial","decision","","Live Page","Keep mapped; improve on-page when the page is next edited."
"neon game room","Home Decor & Living","/custom-signage/gaming-neon-signs","","","secondary","140","17","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"retail storefront signs","Industry - Retail & Storefronts","/","","","secondary","140","19","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"wedding neon sign ideas","Editorial & Blog","/blog/halloween-neon-sign-ideas","","","alternative_topic","140","20","informational","awareness","","Blog / Editorial","Keep mapped; improve on-page when the page is next edited."
"custom lightbox signs","Lightbox & Edge-Lit Signs","/business-signs/lightbox-signs","","","primary","140","21","transactional_commercial","decision","","Live Page","Keep mapped; improve on-page when the page is next edited."
"how much do outdoor business signs cost","Technical Guides & Buying Decisions","/guides/custom-business-sign-cost","","","secondary","140","21","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"restaurant led signs","Industry - Restaurants & Food","/business-signs/restaurant-signs","","","secondary","140","23","commercial_investigation","MOFU (Consideration)","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"office logo signs","Industry - Corporate & Office","/business-signs/custom-logo-neon-signs","","","secondary","140","24","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"outdoor salon signs","Industry - Salons & Spas","/business-signs/salon-spa-signs","/business-signs/salon-signs","slug renamed at launch (2026-08-28)","secondary","140","27","commercial_investigation","MOFU (Consideration)","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"wedding neon signs ideas","Events & Occasions","/custom-signage/wedding-signs","","","secondary","140","32","informational","TOFU (Awareness)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom illuminated signs","General & Market Benchmarks","/business-signs","","","secondary","140","34","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"business light box sign","Lightbox & Edge-Lit Signs","/business-signs/lightbox-signs","","","secondary","140","35","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom logo neon signs for business","business_signs","/business-signs/custom-logo-neon-signs","","","primary","140","56","transactional_commercial","decision","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"3d metal signs","Storefront & Channel Letters","/business-signs/channel-letter-signs","/products/3d-metal-neon-signs","301 consolidation 2026-09-24","primary","110","12","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"backlit sign wall surfaces and standoffs","Technical Guides & Buying Decisions","/guides/backlit-sign-wall-surfaces-and-standoffs","","","primary","110","18","informational_commercial","consideration","","Live Page","Keep mapped; improve on-page when the page is next edited."
"led gaming sign","Gaming & Entertainment","/custom-signage/gaming-neon-signs","","","secondary","110","19","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom neon sign cost","Technical Guides & Buying Decisions","/guides/custom-business-sign-cost","","","primary","110","24","transactional_commercial","BOFU (Decision)","AI Overview; unsourced ranges disagree by up to 10x","Live Page","Keep mapped; improve on-page when the page is next edited."
"commercial retail signs","Industry - Retail & Storefronts","/custom-signage","/products","/products is a 308 to /custom-signage","secondary","110","26","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"how much are custom neon signs","Technical Guides & Buying Decisions","/guides/custom-business-sign-cost","","","secondary","110","34","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom acrylic signs for business","Acrylic Signs & UV Print","/business-signs/acrylic-logo-signs","/products/uv-print-acrylic-signs","301 consolidation 2026-09-24","secondary","110","35","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"backlit sign standoff distance","Technical Guides & Buying Decisions","/guides/backlit-sign-wall-surfaces-and-standoffs","","","secondary","90","15","informational","consideration","","Live Page","Keep mapped; improve on-page when the page is next edited."
"office logo signs for wall","Technical Guides & Buying Decisions","/business-signs/custom-logo-neon-signs","","","secondary","90","21","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"how much do custom neon signs cost","Technical Guides & Buying Decisions","/guides/custom-business-sign-cost","","","secondary","90","22","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"illuminated channel letter signs","Storefront & Channel Letters","/business-signs/channel-letter-signs","","","secondary","90","22","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"what are channel letter signs","Storefront & Channel Letters","/business-signs/channel-letter-signs","","","secondary","90","24","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"large custom neon sign","Custom LED Neon Signs","/products/custom-neon-signs","","","secondary","90","30","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"backlit storefront signs","Backlit & Halo-Lit Signs","/business-signs/lightbox-signs","/products/ultra-thin-lightbox","301 consolidation 2026-09-24","secondary","90","43","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"backlit channel letter signs","Backlit & Halo-Lit Signs","/business-signs/channel-letter-signs","","","secondary","70","11","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"halo lit sign wall reflection","Technical Guides & Buying Decisions","/guides/backlit-sign-wall-surfaces-and-standoffs","","","secondary","70","14","informational","consideration","","Live Page","Keep mapped; improve on-page when the page is next edited."
"office lobby signs","Industry - Corporate & Office","/business-signs/custom-logo-neon-signs","","","secondary","70","16","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"happy halloween neon sign","Editorial & Blog","/blog/halloween-neon-sign-ideas","","","secondary","70","21","informational","awareness","","Blog / Editorial","Keep mapped; improve on-page when the page is next edited."
"backlit reception signs","Backlit & Halo-Lit Signs","/business-signs/backlit-lobby-signs","","","secondary","70","25","transactional_commercial","decision","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom acrylic logo signs","Acrylic Signs & UV Print","/business-signs/acrylic-logo-signs","","","secondary","70","29","transactional_commercial","decision","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom business logo signs","Business Logo Neon Signs","/business-signs/custom-logo-neon-signs","","","secondary","70","30","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom lobby signs","Industry - Corporate & Office","/business-signs/custom-logo-neon-signs","","","secondary","50","13","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"illuminated lightbox signs","Lightbox & Edge-Lit Signs","/business-signs/lightbox-signs","/products/ultra-thin-lightbox","301 consolidation 2026-09-24","secondary","50","16","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"acrylic light box sign","Lightbox & Edge-Lit Signs","/business-signs/lightbox-signs","/products/ultra-thin-lightbox","301 consolidation 2026-09-24","secondary","50","21","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"halo lit lobby signs","Backlit & Halo-Lit Signs","/business-signs/backlit-lobby-signs","","","secondary","50","24","transactional_commercial","decision","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom metal letter signs","General & Market Benchmarks","/business-signs/channel-letter-signs","/products/3d-metal-neon-signs","301 consolidation 2026-09-24","secondary","50","31","transactional_commercial","BOFU (Decision)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"types of channel letter signs","Storefront & Channel Letters","/business-signs/channel-letter-signs","","","secondary","40","28","commercial_investigation","MOFU (Consideration)","","Live Page","Keep mapped; improve on-page when the page is next edited."
"backlit lobby signs","Backlit & Halo-Lit Signs","/business-signs/backlit-lobby-signs","","","primary","40","29","transactional_commercial","decision","","Live Page","Keep mapped; improve on-page when the page is next edited."
"the glownique custom signs","brand","/","","","primary","0","0","navigational_commercial","decision","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom illuminated sign types","catalog","/custom-signage","/products","/products is a 308 to /custom-signage","primary","0","0","commercial_investigation","consideration","","Live Page","Keep mapped; improve on-page when the page is next edited."
"3D metal neon signs","catalog","/business-signs/channel-letter-signs","/products/3d-metal-neon-signs","301 consolidation 2026-09-24","primary","0","0","transactional_commercial","decision","","Live Page","Keep mapped; improve on-page when the page is next edited."
"ultra thin LED lightbox","catalog","/business-signs/lightbox-signs","/products/ultra-thin-lightbox","301 consolidation 2026-09-24","primary","0","0","transactional_commercial","decision","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom retail storefront signs","industries","/business-signs/retail-storefronts","","","primary","0","0","commercial_investigation","consideration","","Live Page","Keep mapped; improve on-page when the page is next edited."
"trade show booth signs","industries","/business-signs/trade-show-signs","","","primary","0","0","commercial_investigation","consideration","","Live Page","Keep mapped; improve on-page when the page is next edited."
"home decor neon signs","custom_signage","/custom-signage/home-decor-signs","","","primary","0","0","transactional_commercial","decision","","Live Page","Keep mapped; improve on-page when the page is next edited."
"custom business sign cost","buying_guides","/guides/custom-business-sign-cost","","","primary","0","0","informational_commercial","consideration","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"channel letter sign cost","buying_guides","/guides/channel-letter-sign-cost","","","primary","0","0","informational_commercial","consideration","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"front lit vs halo lit channel letters","buying_guides","/guides/front-lit-vs-halo-lit-vs-dual-lit","","","primary","0","0","comparison","consideration","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"lightbox vs channel letters","buying_guides","/guides/lightbox-vs-channel-letters","","","primary","0","0","comparison","consideration","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"indoor vs outdoor illuminated signs","buying_guides","/guides/indoor-vs-outdoor-illuminated-signs","","","primary","0","0","informational_commercial","consideration","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"business sign size guide","buying_guides","/guides/sign-size-viewing-distance","","","primary","0","0","informational_commercial","consideration","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"business sign installation requirements","buying_guides","/guides/sign-installation-electrical-permits","","","primary","0","0","informational_commercial","consideration","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"how to choose a business sign","buying_guides","/guides/choose-business-sign-type","","","primary","0","0","informational_commercial","awareness_consideration","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"custom business sign projects","proof","/projects","","","primary","0","0","commercial_investigation","consideration","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"custom {sign type} project for {industry}","proof","/projects/{descriptive-project-slug}","","","primary","0","0","commercial_investigation","decision","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"how custom illuminated signs are made","proof","/how-we-make-illuminated-signs","","","primary","0","0","informational_trust","consideration","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"illuminated sign materials","proof","/guides/illuminated-sign-materials-lighting","","","primary","0","0","informational","awareness_consideration","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"custom sign quality control","proof","/quality-control-warranty","","","primary","0","0","commercial_trust","decision","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"the glownique reviews","proof","/reviews","","","primary","0","0","navigational_trust","decision","","Approved 90-Day Plan","Page not built. Build only if the brief in CONTENT-PLAN.md says so."
"ghost neon sign","Editorial & Blog","/blog/halloween-neon-sign-ideas","","","semantic_support","0","0","informational","awareness","","Blog / Editorial","Keep mapped; improve on-page when the page is next edited."
"pumpkin neon sign","Editorial & Blog","/blog/halloween-neon-sign-ideas","","","semantic_support","0","0","informational","awareness","","Blog / Editorial","Keep mapped; improve on-page when the page is next edited."
"halloween coffee bar decor","Editorial & Blog","/blog/halloween-neon-sign-ideas","","","semantic_support","0","0","informational","awareness","","Blog / Editorial","Keep mapped; improve on-page when the page is next edited."
"halloween neon sign ideas","Editorial & Blog","/blog/halloween-neon-sign-ideas","","","editorial_primary","0","4","informational","awareness","","Blog / Editorial","Keep mapped; improve on-page when the page is next edited."
