"page_id","cluster","canonical_url","page_status","primary_keyword","supporting_questions","intent","audience","funnel_stage","page_type","proof_required","primary_conversion","schema_candidate","search_volume","keyword_difficulty","metrics_status","priority","notes"
"SIG-HOMEDECOR","custom_signage","/custom-signage/home-decor-signs","existing","home decor neon signs","bedroom vs game room|man cave|brightness for small rooms|mounting","transactional_commercial","consumers and gift buyers","decision","collection_landing","room projects|brightness evidence|mounting|template gallery","free_mockup","CollectionPage;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P2","Competitor proof only: customneon man-cave-garage earns 553 visits/mo and yellowpop neons-for-bedroom earns 1674 visits/mo. Validate own head terms before build."
"GUIDE-COST","buying_guides","/guides/custom-business-sign-cost","future","custom business sign cost","price ranges|cost drivers|installation|shipping|permits","informational_commercial","budget owners and procurement","consideration","pricing_guide","dated approved ranges|methodology|sample scopes","request_itemized_quote","Article;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P0","No price published until owner approves exact basis and date."
"GUIDE-CHANNEL-COST","buying_guides","/guides/channel-letter-sign-cost","future","channel letter sign cost","per letter vs project|lighting|size|mounting|installation","informational_commercial","storefront budget owners","consideration","pricing_guide","dated ranges|sample scopes|installation boundary","request_itemized_quote","Article;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P1","Use real quotes/projects as examples with permission."
"GUIDE-LIGHTING","buying_guides","/guides/front-lit-vs-halo-lit-vs-dual-lit","future","front lit vs halo lit channel letters","visibility|wall requirements|cost|maintenance","comparison","brand designers and storefront owners","consideration","comparison_guide","same-logo visual comparison|technical diagrams|expert review","compare_and_quote","Article;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P0","High-value visual link asset."
"GUIDE-LIGHTBOX-VS-CHANNEL","buying_guides","/guides/lightbox-vs-channel-letters","future","lightbox vs channel letters","cost|readability|maintenance|installation|best use","comparison","storefront and retail buyers","consideration","comparison_guide","side-by-side projects|spec table|limitations","compare_and_quote","Article;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P0","Keep balanced; page must help choose rather than self-promote."
"GUIDE-INDOOR-OUTDOOR","buying_guides","/guides/indoor-vs-outdoor-illuminated-signs","future","indoor vs outdoor illuminated signs","IP rating|weather|power|mounting|maintenance","informational_commercial","all B2B buyers","consideration","buying_guide","rating evidence|material examples|installation disclaimer","specify_project","Article;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P1","Do not equate IP67 components with entire installed system without proof."
"GUIDE-SIZING","buying_guides","/guides/sign-size-viewing-distance","future","business sign size guide","letter height|viewing distance|wall size|logo proportions","informational_commercial","designers and facilities buyers","consideration","tool_guide","methodology|diagram|calculator assumptions|examples","calculate_then_quote","Article;SoftwareApplication_if_tool","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P0","Strong linkable asset; document formula limitations."
"GUIDE-INSTALL","buying_guides","/guides/sign-installation-electrical-permits","future","business sign installation requirements","electrician|permits|landlord|mounting|UL requirements","informational_commercial","US business and facilities buyers","consideration","compliance_guide","qualified expert review|jurisdiction caveat|checklist","installation_ready_quote","Article;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P1","Not legal/electrical advice; national guidance must remain general."
"GUIDE-CHOOSE","buying_guides","/guides/choose-business-sign-type","future","how to choose a business sign","logo|storefront|reception|event|budget|timeline","informational_commercial","first-time signage buyers","awareness_consideration","decision_guide","decision tree|four real examples|limitations","guided_quote","Article;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P1","Routes readers to one commercial page without cannibalizing it."
"CASE-INDEX","proof","/projects","future","custom business sign projects","examples by product|industry|constraint|outcome","commercial_investigation","buyers seeking proof","consideration","case_study_hub","at least six permissioned projects|filters|captions","view_case_or_quote","CollectionPage;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P1","Do not launch empty or with thin cards."
"CASE-TEMPLATE","proof","/projects/{descriptive-project-slug}","future_template","custom {sign type} project for {industry}","challenge|solution|materials|size|timeline|outcome","commercial_investigation","similar buyers","decision","case_study","permission|real media|measurements|timeline|outcome|testimonial basis","replicate_project_quote","Article;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P1","Never force city keywords; use location only when materially relevant and permitted."
"PROCESS","proof","/how-we-make-illuminated-signs","future","how custom illuminated signs are made","design|fabrication|quality control|packing","informational_trust","buyers and potential publishers","consideration","process_page","factory/process media|named expert|QC checklist","start_mockup","Article;HowTo_only_if_visible_steps","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P1","First-party manufacturing evidence; accurately state where work occurs."
"MATERIALS","proof","/guides/illuminated-sign-materials-lighting","future","illuminated sign materials","acrylic|stainless steel|LED|power|finishes","informational","designers and technical buyers","awareness_consideration","technical_guide","supplier specs|samples|expert review|sources","choose_material_then_quote","Article;BreadcrumbList","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P2","Source performance claims; no blanket lifespan assertions."
"QUALITY","proof","/quality-control-warranty","future","custom sign quality control","testing|packing|warranty|fault process","commercial_trust","risk-conscious buyers","decision","trust_page","actual QC records|warranty terms|claim process","quote_with_confidence","WebPage;Organization_policy_if_eligible","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P1","Must match /returns and Etsy policy."
"REVIEWS","proof","/reviews","future_conditional","the glownique reviews","verified buyer reviews|where to verify|methodology","navigational_trust","brand-aware buyers","decision","review_reference","current Etsy shop-wide evidence|permission|source links","verify_then_quote","WebPage","VALIDATION_REQUIRED","VALIDATION_REQUIRED","VALIDATION_REQUIRED_GSC_PAID_TOOL","P2","Launch only when review sourcing and canonical Etsy shop URL are current; no self-serving aggregate rating markup."
