keyword_id,keyword,category_cluster,target_url,page_status,role,monthly_search_volume_us,seo_difficulty,cpc_usd,search_intent,funnel_stage,decision_status,source_origin,rationale_and_notes
KW-0013,customizable neon sign,General & Market Benchmarks,/products/custom-neon-signs,Live Page,primary,33100,63,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0014,neon signs custom,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,33100,63,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0015,custom design neon signs,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,33100,65,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0016,customneonsign,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,33100,71,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0017,custom signs,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,27100,54,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0018,neon lights,Custom LED Neon Signs,/custom-signage,Live Page,secondary,18100,32,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0019,shop signs near me,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,18100,65,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — local-intent query is unsupported by the current national ecommerce model
KW-0020,wedding signs,custom_signage,/custom-signage/wedding-signs,Live Page,primary,14800,39,1.88,transactional_commercial,decision,KEEP,05 Intent Map,"Largest single volume on the map (peaks 18.1k) at only SD 39. Supporting term wedding neon sign adds 2900 vol at SD 42: one page serves both, do not split. CPC $1.88 reflects consumer not commercial value."
KW-0021,led sign,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,12100,38,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0022,led neon signage,B2B Commercial & Business Signs,,Archived / Removed,Evaluated & Archived,12100,44,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0023,neon sign led lights,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,12100,44,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0024,personalized led sign,General & Market Benchmarks,/custom-signage,Live Page,secondary,12100,47,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0025,neon and led signs,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,12100,51,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0026,led signs,General & Market Benchmarks,/products,Strategic Benchmark,benchmark,12100,52,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
KW-0027,led neon signs,General & Market Benchmarks,/custom-signage,Strategic Benchmark,benchmark,12100,56,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
KW-0028,outdoor business signs,B2B Commercial & Business Signs,/business-signs,Strategic Benchmark,benchmark,9900,36,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
KW-0029,custom led signs,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,9900,53,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0030,led personalized signs,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,9900,61,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0031,acrylic signs,Acrylic Signs & UV Print,/business-signs/acrylic-logo-signs,Strategic Benchmark,benchmark,8100,33,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
KW-0032,custom signs for businesses,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,8100,38,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0033,neon signs lights,General & Market Benchmarks,/custom-signage,Live Page,secondary,5400,45,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0034,custom neon led lights,Custom LED Neon Signs,/products/custom-neon-signs,Live Page,secondary,5400,55,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0035,custom led neon signs,General & Market Benchmarks,/custom-signage,Strategic Benchmark,benchmark,5400,58,,transactional_commercial,decision,KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
KW-0036,custom led neon,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,5400,61,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0037,custom signage for business,B2B Commercial & Business Signs,/business-signs,Live Page,primary,5400,81,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0038,neon signs for bars,Industry - Hospitality & Bars,,Archived / Removed,Evaluated & Archived,4400,37,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0039,beer neon signs,Industry - Hospitality & Bars,,Archived / Removed,Evaluated & Archived,4400,45,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — outside the supported product and brand scope
KW-0040,neon bar signs,industries,/business-signs/bar-signs,Live Page,primary,4400,45,1.05,commercial_investigation,consideration,KEEP,05 Intent Map,Split out of former restaurants-bars: distinct head term and distinct intent. CPC $1.05; competitor bar-signs page earns 4575 visits/mo.
KW-0041,neon led sign custom,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,4400,62,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0042,neon led custom,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,4400,64,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0043,neon sign custom,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,4400,64,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0044,custom business signs,B2B Commercial & Business Signs,/business-signs,Strategic Benchmark,benchmark,4400,84,7.29,commercial_investigation,consideration,KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
KW-0045,channel letter signs,Storefront & Channel Letters,/business-signs/channel-letter-signs,Strategic Benchmark,benchmark,3600,26,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
KW-0046,storefront signs,Industry - Retail & Storefronts,/business-signs,Strategic Benchmark,benchmark,3600,29,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
KW-0047,acrylic custom signs,Acrylic Signs & UV Print,,Archived / Removed,Evaluated & Archived,3600,30,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0048,neon light signage,Custom LED Neon Signs,,Archived / Removed,Evaluated & Archived,3600,30,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0049,neon signs and lights,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,3600,30,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0050,neon light up signs,Custom LED Neon Signs,/custom-signage,Live Page,secondary,3600,33,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0051,neon bar signage,Industry - Hospitality & Bars,/custom-signage/bar-neon-signs,Live Page,secondary,3600,35,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0052,neon lighting signage,Custom LED Neon Signs,,Archived / Removed,Evaluated & Archived,3600,43,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0053,customizable acrylic signs,Acrylic Signs & UV Print,/business-signs/acrylic-logo-signs,Live Page,secondary,3600,45,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0054,wedding neon signs,Events & Occasions,/custom-signage/wedding-signs,Live Page,secondary,3600,45,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
KW-0055,neon open sign,Industry - Retail & Storefronts,/business-signs/open-signs,Live Page,primary,3600,48,4.49,transactional_commercial,decision,KEEP,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0056,custom perspex signs,General & Market Benchmarks,/products/uv-print-acrylic-signs,Live Page,secondary,2900,33,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0057,restaurant signs,Industry - Restaurants & Food,/business-signs/restaurant-signs,Approved 90-Day Plan,primary,2900,34,6.34,commercial_investigation,consideration,KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0058,custom acrylic signs,Acrylic Signs & UV Print,/business-signs/acrylic-logo-signs,Strategic Benchmark,benchmark,2900,36,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
KW-0059,custom acrylic signage,Acrylic Signs & UV Print,,Archived / Removed,Evaluated & Archived,2900,40,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0060,led business sign,B2B Commercial & Business Signs,,Archived / Removed,Evaluated & Archived,2900,41,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0061,wedding neon sign,Events & Occasions,,Archived / Removed,Evaluated & Archived,2900,42,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0062,customized parking signs,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,2900,44,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — outside the supported product and brand scope
KW-0063,office signs,industries,/business-signs/office-signs,Live Page,primary,2900,44,,commercial_investigation,consideration,KEEP,05 Intent Map,Renamed from offices-reception which matched no query. Highest CPC in the cluster at $9.82; company acrylic signs (1300 vol) is a supporting term. Link primarily to channel-letter and acrylic-logo pages.
KW-0064,neon name sign,General & Market Benchmarks,/custom-signage,Live Page,secondary,2900,72,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0065,coffee bar sign,Editorial & Blog,/blog/halloween-neon-sign-ideas,Blog / Editorial,alternative_topic,2400,25,0.58,informational,awareness,KEEP,Halloween Blog Research,Broad alternative; overlap with existing bars and cafes article.
KW-0066,led open sign,Industry - Retail & Storefronts,,Archived / Removed,Evaluated & Archived,2400,26,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0067,led signs for business,General & Market Benchmarks,/business-signs,Live Page,secondary,2400,29,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0068,vintage neon signs,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,2400,29,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0069,backlit signs,Backlit & Halo-Lit Signs,/business-signs/backlit-signs,Live Page,primary,2400,31,8.45,transactional_commercial,decision,KEEP,Backlit Cluster Implementation,Commercial hub for exterior & interior halo backlit metal letters and signage.
KW-0070,custom signs outdoor,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,2400,34,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0071,custom made neon lights,Custom LED Neon Signs,/products/custom-neon-signs,Live Page,secondary,2400,36,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0072,custom neon light design,Custom LED Neon Signs,,Archived / Removed,Evaluated & Archived,2400,36,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0073,light up signs,General & Market Benchmarks,/custom-signage,Strategic Benchmark,benchmark,2400,36,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
KW-0074,neon lights for bedroom,Home Decor & Living,/custom-signage/home-decor-signs,Live Page,secondary,2400,36,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0075,neon lights for room,Home Decor & Living,/products,Live Page,primary,2400,36,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0076,open led light sign,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,2400,39,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0077,custom neon lights,Custom LED Neon Signs,/products/custom-neon-signs,Strategic Benchmark,benchmark,2400,44,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
KW-0078,lighting signs,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,2400,53,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0079,neon name signs,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,2400,60,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0080,custom signs that light up,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,2400,62,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0081,acrylic signs wedding,Acrylic Signs & UV Print,,Archived / Removed,Evaluated & Archived,1900,20,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0082,neon signs near me,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,1900,25,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — local-intent query is unsupported by the current national ecommerce model
KW-0083,backlit signage,Backlit & Halo-Lit Signs,,Archived / Removed,Evaluated & Archived,1900,28,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0084,backlit signage vs light box signs,Editorial & Blog,/blog/backlit-signage-vs-light-box-signs,Blog / Editorial,primary,1900,28,6.8,informational_commercial,consideration,KEEP,Backlit Blog Post,Comprehensive pillar comparison article: halo backlit metal letters vs edge-lit lightboxes.
KW-0085,barbershop signage,Industry - Hospitality & Bars,/business-signs/salon-signs,Approved 90-Day Plan,secondary,1900,29,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0086,neon sign store near me,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,1900,45,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — local-intent query is unsupported by the current national ecommerce model
KW-0087,customizable light up sign,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,1900,60,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0088,custom light up signs,General & Market Benchmarks,/custom-signage,Live Page,primary,1900,61,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0089,light up sign personalized,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,1900,61,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0090,bar sign personalized,Industry - Hospitality & Bars,,Archived / Removed,Evaluated & Archived,1600,22,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0091,custom bar signs,Industry - Hospitality & Bars,/custom-signage/bar-neon-signs,Live Page,primary,1600,22,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0092,custom signs for bars,Industry - Hospitality & Bars,,Archived / Removed,Evaluated & Archived,1600,25,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0093,neon sign for room,Home Decor & Living,/products,Live Page,secondary,1600,26,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0094,what are neon colors,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,1600,29,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0095,led neon vs glass neon,Editorial & Blog,/blog/led-neon-vs-glass-neon,Blog / Editorial,primary,1600,29,0.85,informational,awareness,KEEP,Sanity Blog Seed,"Energy consumption, durability, gas vs silicone LEDs, safety."
KW-0096,neon sign bedroom,Home Decor & Living,,Archived / Removed,Evaluated & Archived,1600,31,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0097,shop signs,General & Market Benchmarks,/business-signs/retail-signs,Approved 90-Day Plan,primary,1600,33,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0098,led light sign,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,1600,34,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0099,custom signs for wedding,Events & Occasions,/custom-signage/wedding-signs,Live Page,secondary,1600,36,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0100,bedroom neon signs,Home Decor & Living,/custom-signage/home-decor-signs,Live Page,secondary,1600,44,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0101,personalized neon sign,Custom LED Neon Signs,/products/custom-neon-signs,Live Page,secondary,1600,62,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0102,neon led lights,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,1300,22,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0103,how long do led neon signs last,Editorial & Blog,/blog/how-long-do-led-neon-signs-last,Blog / Editorial,primary,1300,22,0.55,informational,awareness,KEEP,Sanity Blog Seed,"Lifespan, driver replacement, 12V silicone vs glass."
KW-0104,illuminated signs,General & Market Benchmarks,/products,Live Page,secondary,1300,25,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0105,signage lightbox,Lightbox & Edge-Lit Signs,,Archived / Removed,Evaluated & Archived,1300,25,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0106,light box sign,Lightbox & Edge-Lit Signs,,Archived / Removed,Evaluated & Archived,1300,26,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0107,light box signage,Lightbox & Edge-Lit Signs,,Archived / Removed,Evaluated & Archived,1300,26,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0108,led neon,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,1300,27,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0109,lighted custom signs,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,1300,28,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0110,custom outdoor business signs,B2B Commercial & Business Signs,/business-signs,Live Page,secondary,1300,29,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0111,illuminated signage,B2B Commercial & Business Signs,,Archived / Removed,Evaluated & Archived,1300,36,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0112,custom business signs outdoor,B2B Commercial & Business Signs,,Archived / Removed,Evaluated & Archived,1300,39,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0113,custom lighted signs,General & Market Benchmarks,/products,Live Page,secondary,1300,43,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0114,cafe signs,Industry - Restaurants & Food,/business-signs/restaurant-signs,Live Page,secondary,1300,44,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0115,company acrylic signs,Acrylic Signs & UV Print,,Archived / Removed,Evaluated & Archived,1300,44,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0116,custom neon logo signs,Custom LED Neon Signs,/business-signs/custom-logo-neon-signs,Strategic Benchmark,benchmark,1300,58,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
KW-0117,custom neon,Custom LED Neon Signs,,Archived / Removed,Evaluated & Archived,1300,59,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0118,custom neon light signs,Custom LED Neon Signs,,Archived / Removed,Evaluated & Archived,1300,60,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0119,personalized light signs,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,1300,60,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0120,custom name neon sign,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,1300,66,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0121,custom neon name sign,Custom LED Neon Signs,,Archived / Removed,Evaluated & Archived,1300,67,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
