keyword,estimated_monthly_volume_us,seo_difficulty,decision,cohort,role,target_url,reason
happy birthday neon sign,1000,23,KEEP,planned_90_day,primary,/custom-signage/event-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
how much are custom neon signs,110,34,KEEP,live_page,secondary,/guides/custom-business-sign-cost,Mapped to an existing page with matching product or commercial intent
how much do custom neon signs cost,90,22,KEEP,live_page,secondary,/guides/custom-business-sign-cost,Mapped to an existing page with matching product or commercial intent
how much do outdoor business signs cost,140,21,KEEP,live_page,secondary,/guides/custom-business-sign-cost,Mapped to an existing page with matching product or commercial intent
ideas for restaurant signs,320,36,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
illuminated acrylic signs,390,20,KEEP,live_page,secondary,/products/uv-print-acrylic-signs,Mapped to an existing page with matching product or commercial intent
illuminated business signs,90,22,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
illuminated channel letter signs,90,22,KEEP,live_page,secondary,/business-signs/channel-letter-signs,Mapped to an existing page with matching product or commercial intent
illuminated lightbox signs,50,16,KEEP,live_page,secondary,/products/ultra-thin-lightbox,Mapped to an existing page with matching product or commercial intent
illuminated restaurant signs,50,20,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
illuminated signage,1300,36,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
illuminated signs,1300,25,KEEP,live_page,secondary,/products,Mapped to an existing page with matching product or commercial intent
illuminated signs for business,1000,30,KEEP,live_page,secondary,/business-signs,Mapped to an existing page with matching product or commercial intent
large custom neon sign,90,30,KEEP,live_page,secondary,/products/custom-neon-signs,Mapped to an existing page with matching product or commercial intent
led acrylic signs,720,34,KEEP,live_page,secondary,/products/uv-print-acrylic-signs,Mapped to an existing page with matching product or commercial intent
led backlit letters,70,22,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
led backlit signage,480,34,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
led business sign,2900,41,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
led channel letter signs,320,14,KEEP,live_page,secondary,/business-signs/channel-letter-signs,Mapped to an existing page with matching product or commercial intent
led gaming sign,110,19,KEEP,planned_90_day,secondary,/custom-signage/gaming-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
led light box sign,170,19,KEEP,live_page,primary,/products/ultra-thin-lightbox,Mapped to an existing page with matching product or commercial intent
led light sign,1600,34,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
led neon,1300,27,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
led neon signage,12100,44,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
led neon signs,12100,56,KEEP,strategic_benchmark,benchmark,/custom-signage,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
led neon signs for business,110,41,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
led neon wall art,90,28,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
led open sign,2400,26,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
led outdoor business signs,720,36,KEEP,live_page,secondary,/business-signs,Mapped to an existing page with matching product or commercial intent
led personalized signs,9900,61,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
led restaurant signs,140,17,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
led sign,12100,38,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
led signs,12100,52,KEEP,strategic_benchmark,benchmark,/products,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
led signs for bedroom,880,30,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
led signs for business,2400,29,KEEP,live_page,secondary,/business-signs,Mapped to an existing page with matching product or commercial intent
led signs for restaurants,140,26,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
led signs for room,880,35,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
led wedding signs,480,30,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
light box sign,1300,26,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
light box sign for business,40,19,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
light box signage,1300,26,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
light up acrylic signs,320,23,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
light up bar signs,480,31,KEEP,planned_90_day,secondary,/custom-signage/bar-cafe-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
light up sign personalized,1900,61,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
light up signs,2400,36,KEEP,strategic_benchmark,benchmark,/custom-signage,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
lightbox signs,720,49,KEEP,strategic_benchmark,benchmark,/business-signs/lightbox-signs,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
lighted custom signs,1300,28,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
lighted outdoor business signs,720,29,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
lighting signs,2400,53,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
lobby signs,590,17,KEEP,live_page,secondary,/business-signs/custom-logo-neon-signs,Mapped to an existing page with matching product or commercial intent
lobby signs for business,170,14,KEEP,live_page,secondary,/business-signs/custom-logo-neon-signs,Mapped to an existing page with matching product or commercial intent
man cave led sign,140,23,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
man cave neon signs,480,23,KEEP,planned_90_day,secondary,/custom-signage/gaming-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
man cave signs that light up,70,15,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
metal building letters,30,13,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
metal letter signs,1000,38,KEEP,live_page,secondary,/products/3d-metal-neon-signs,Mapped to an existing page with matching product or commercial intent
metal letter signs for business,20,36,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
nail salon signs,390,24,KEEP,planned_90_day,secondary,/business-signs/salon-signs,Mapped to an approved 90-day landing-page cluster before content production
neon and led signs,12100,51,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
neon bar signage,3600,35,KEEP,planned_90_day,secondary,/custom-signage/bar-cafe-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
neon cafe signs,170,23,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
neon colors,49500,34,KEEP,live_page,primary,/guides/front-lit-vs-halo-lit-vs-dual-lit,Mapped to an existing page with matching product or commercial intent
neon for restaurant,170,23,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
neon game room,140,17,KEEP,planned_90_day,secondary,/custom-signage/gaming-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
neon gamer signs,110,18,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
neon gym sign,480,17,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
neon gym signs,590,19,KEEP,planned_90_day,secondary,/business-signs/gym-signs,Mapped to an approved 90-day landing-page cluster before content production
neon hair salon signs,390,17,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
neon led custom,4400,64,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
neon led lights,1300,22,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
neon led sign custom,4400,62,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
neon light home decor,90,29,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
neon light signage,3600,30,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
neon light up signs,3600,33,KEEP,live_page,secondary,/custom-signage,Mapped to an existing page with matching product or commercial intent
neon light wall art,70,24,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
neon lighting signage,3600,43,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
neon lights,18100,32,KEEP,live_page,secondary,/custom-signage,Mapped to an existing page with matching product or commercial intent
neon lights for bedroom,2400,36,KEEP,live_page,secondary,/products,Mapped to an existing page with matching product or commercial intent
neon lights for room,2400,36,KEEP,live_page,primary,/products,Mapped to an existing page with matching product or commercial intent
neon man cave lights,110,18,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
neon name sign,2900,72,KEEP,live_page,secondary,/custom-signage,Mapped to an existing page with matching product or commercial intent
neon name signs,2400,60,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
neon open sign,3600,48,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
neon party sign,170,34,KEEP,planned_90_day,secondary,/custom-signage/event-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
neon restaurant signs,480,32,KEEP,planned_90_day,secondary,/business-signs/restaurant-signs,Mapped to an approved 90-day landing-page cluster before content production
neon salon signs,70,15,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
neon shop signs,880,54,KEEP,planned_90_day,secondary,/business-signs/retail-signs,Mapped to an approved 90-day landing-page cluster before content production
neon sign bedroom,1600,31,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
neon sign cost,170,20,KEEP,live_page,secondary,/guides/custom-business-sign-cost,Mapped to an existing page with matching product or commercial intent
neon sign custom,4400,64,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
neon sign for gym,70,16,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
neon sign for home,260,27,KEEP,planned_90_day,secondary,/custom-signage/home-neon-decor,Mapped to an approved 90-day landing-page cluster before content production
neon sign for room,1600,26,KEEP,live_page,secondary,/products,Mapped to an existing page with matching product or commercial intent
neon sign ideas,210,32,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
neon sign led lights,12100,44,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
neon sign store near me,1900,45,REMOVE,,,,Remove — local-intent query is unsupported by the current national ecommerce model
neon signs,40500,34,KEEP,strategic_benchmark,benchmark,/,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
neon signs and lights,3600,30,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
neon signs custom,33100,63,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
neon signs for bars,4400,37,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
neon signs for business,590,25,KEEP,strategic_benchmark,benchmark,/business-signs/custom-logo-neon-signs,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
neon signs for gaming room,210,18,KEEP,planned_90_day,secondary,/custom-signage/gaming-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
neon signs for kitchen,210,15,KEEP,planned_90_day,secondary,/custom-signage/home-neon-decor,Mapped to an approved 90-day landing-page cluster before content production
neon signs lights,5400,45,KEEP,live_page,secondary,/custom-signage,Mapped to an existing page with matching product or commercial intent
neon signs near me,1900,25,REMOVE,,,,Remove — local-intent query is unsupported by the current national ecommerce model
neon wall art,720,35,KEEP,live_page,secondary,/custom-signage,Mapped to an existing page with matching product or commercial intent
neon wall decor,260,27,KEEP,planned_90_day,primary,/custom-signage/home-neon-decor,Mapped to an approved 90-day landing-page cluster before content production
neon wall lights,720,35,KEEP,planned_90_day,secondary,/custom-signage/home-neon-decor,Mapped to an approved 90-day landing-page cluster before content production
neon wall signs,720,29,KEEP,live_page,secondary,/custom-signage,Mapped to an existing page with matching product or commercial intent
neon window signs,140,26,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
office lobby signs,70,16,KEEP,live_page,secondary,/business-signs/custom-logo-neon-signs,Mapped to an existing page with matching product or commercial intent
office logo signs,140,24,KEEP,live_page,secondary,/business-signs/custom-logo-neon-signs,Mapped to an existing page with matching product or commercial intent
office logo signs for wall,90,21,KEEP,live_page,secondary,/business-signs/custom-logo-neon-signs,Mapped to an existing page with matching product or commercial intent
office neon signs,260,16,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
office wall signs,720,27,KEEP,live_page,secondary,/business-signs/acrylic-logo-signs,Mapped to an existing page with matching product or commercial intent
open led light sign,2400,39,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
outdoor acrylic signs,260,36,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
outdoor business signs,9900,36,KEEP,strategic_benchmark,benchmark,/business-signs,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
outdoor business signs for buildings,390,30,KEEP,live_page,secondary,/business-signs,Mapped to an existing page with matching product or commercial intent
outdoor business signs ideas,390,36,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
